created_at,id,full_text,is_quote_status,retweet_count,favorite_count,user.id,user.name,user.screen_name,user.location,user.followers_count,user.friends_count,user.listed_count,user.verified,user.statuses_count
2021-10-26 00:45:18+00:00,1452798455101988900,"@lululemon such a sad, sad day. After over 10 years of use, this OG mens metal vent tech (hex logo and all) has finally given in. And no-less after an @emmalovewell recovery ride @onepeloton. He’s lasted longer than any and even longer than the modem replacements 😢😭 https://t.co/iPFJYOsgvS",False,0,0,18840192,Chadwick Lewis,chadwicklewis,"Chicago, IL",602,1133,19,False,11105
2021-10-26 00:51:50+00:00,1452800102884577300,@lululemon ❤️,False,0,0,805537555,sfg,susiegodfrey1,live in the moment,209,493,17,False,3732
2021-10-26 00:46:29+00:00,1452798753698721800,@lululemon 😭 exactly that,False,0,0,1447472904,Bryan,Bryan_tapuy,,98,285,2,False,3298
2021-10-26 01:01:03+00:00,1452802422301208600,"@lululemon I’d like to make a note for all of Twitter to see, that I’ve been waiting much longer than the average wait time and it seems that I’ve been frozen as next in line for 40 minutes, while the option to type a message has been taken away. https://t.co/EccXdUBOpp",False,0,0,248219773,Armanda,mandoroy,"CowTown, Mass",238,325,2,False,8835
2021-10-26 01:10:04+00:00,1452804691834949600,@lululemon 💀 DEAD,False,0,0,46060629,Neil OBrien-Bosselman,neil_obrien,"Albany, NY",57,202,0,False,306
2021-10-26 01:14:20+00:00,1452805761805926400,@lululemon 🥲,False,0,0,2185797770,K Crabb,KeCLove8,"Minneapolis, MN",70,118,1,False,602
2021-10-26 01:09:08+00:00,1452804454646878200,@lululemon does not make their workout leggings like they use to! #leggings #annoyed,False,0,0,491706834,Valerie Naimi,VALnaimi,LA,251,180,1,False,9696
2021-10-26 01:16:04+00:00,1452806198957428700,"Thanks to everyone who attended our Shop, Support, & Save Yoga event this weekend. Thank you to Astrid from @shakapoweryoga for leading us. Special shout out to @lululemon, @underarmour, & @columbia1938 for making it out & giving our guest some special shopping time & deals. https://t.co/WPLWu6wEKT",False,0,0,2515846224,Houston PO,HOUPremOutlets,"Houston, Texas",449,362,10,False,2918
2021-10-26 01:23:25+00:00,1452808049069109200,@lululemon Somebody stole my black Scuba Oversized 1/2 Zip Hoodie from the gym & there is no small available on your website anymore. I’m stressed out and devastated. Nothing compares. Please help me. Please make me a small.,False,0,0,1170406570133545000,Lizzy Farmers,lizzyfarmers,"Chicago, IL",11,112,0,False,63
2021-10-26 01:33:53+00:00,1452810683872157700,@lululemon 🥰,False,0,0,2425473022,Doreen Weiser,WeiserDoreen,"Hollywood, FL",67,174,3,False,573
2021-10-26 01:37:54+00:00,1452811693227053000,@lululemon 👀,False,0,0,234977893,Aushakate,aushakate,,118,485,4,False,5231
2021-10-26 01:51:33+00:00,1452815128206925800,@blakemichigan_ @LEVIS @mugsyjeans @lululemon @Gap can you help my despondent friend Evan find some pants?,False,0,5,150048843,Christina Lundin,xtinalundin,Chicago,399,699,5,False,1656
2021-10-26 02:03:57+00:00,1452818250828591000,@lululemon 😂,False,0,0,165172718,Betta Deblasio,e_deblasio,,832,793,1,False,16278
2021-10-26 01:57:42+00:00,1452816675976491000,@xtinalundin @LEVIS @mugsyjeans @lululemon @Gap Y’all need to send a seamstress my measurements are unique,False,0,0,3007779101,Evan “Evan Hull” Hull,blakemichigan_,"Chicago, IL",558,654,2,False,2952
2021-10-26 02:00:09+00:00,1452817292979589000,@lululemon 😂,False,0,0,101321786,Casey Meyer,caseyybear,"Fredericksburg, TX",220,424,1,False,6003
